Date,Symbol,Quantity,Value
170,XLY,3,142.185
170,XLP,25,902.0
170,XLF,181,2327.350309
170,XLV,5,201.5
170,XLI,9,332.68500000000006
170,XLB,46,1717.41
170,XLK,68,2129.08
170,XLU,57,2073.09
171,XLY,6,281.04
171,XLP,-14,-501.62
171,XLE,4,293.94
171,XLF,86,1089.05283
171,XLV,15,604.0485
171,XLI,-5,-182.4
171,XLB,-19,-698.0600000000001
171,XLK,-63,-1944.81
171,XLU,30,1088.7
172,XLY,-5,-232.6
172,XLP,9,322.425
172,XLE,-4,-291.16
172,XLF,-9,-113.239827
172,XLV,-3,-120.195
172,XLI,3,109.005
172,XLB,-18,-658.08
172,XLK,26,796.9
172,XLU,4,145.48
173,XLY,10,469.9
173,XLP,-4,-143.8
173,XLE,1,73.78
173,XLF,13,165.099298
173,XLV,-16,-644.72
173,XLI,17,623.56
173,XLB,2,74.02
173,XLK,5,155.22500000000002
173,XLU,-21,-760.725
174,XLY,6,280.74
174,XLP,9,322.425
174,XLE,1,73.435
174,XLF,-43,-544.351835
174,XLV,-1,-40.12
174,XLI,-14,-511.56
174,XLB,3,110.37
174,XLK,1,30.825
174,XLU,7,254.73
175,XLY,-7,-327.32
175,XLP,-16,-576.96
175,XLE,-2,-147.6
175,XLF,-28,-356.05320800000004
175,XLV,5,201.8
175,XLI,3,110.0973
175,XLB,35,1292.2
175,XLK,-4,-123.04
175,XLU,-1,-36.22
176,XLY,-5,-233.35
176,XLP,79,2851.11
176,XLF,69,879.0977429999999
176,XLV,-2,-81.08
176,XLI,-5,-183.2
176,XLB,-24,-881.28
176,XLK,-26,-800.8000000000001
176,XLU,-42,-1529.2199999999998
177,XLY,-6,-282.24
177,XLP,-79,-2859.8
177,XLF,-70,-899.79603
177,XLV,20,817.6
177,XLI,24,883.92
177,XLK,24,743.04
177,XLU,42,1536.7800000000002
178,XLY,3,142.41
178,XLP,-8,-290.96
178,XLE,1,73.755
178,XLF,69,900.108657
178,XLV,18,740.34
178,XLI,-27,-1000.08
178,XLB,-11,-407.22
178,XLK,20,621.0
178,XLU,-19,-699.1999999999999
179,XLY,-3,-142.82999999999998
179,XLP,17,620.67
179,XLF,30,391.22979
179,XLV,-35,-1440.95
179,XLI,20,743.1999999999999
179,XLB,14,520.8000000000001
179,XLK,-45,-1390.05
179,XLU,22,808.2800000000001
179,XLE,-1,-73.58
180,XLY,2,95.04
180,XLP,-12,-436.8
180,XLF,229,2984.527917
180,XLV,10,411.4
180,XLI,-16,-593.12
180,XLB,-17,-631.21
180,XLK,6,183.42
180,XLU,-55,-2024.0
181,XLY,6,280.56
181,XLP,2,72.1
181,XLF,-266,-3445.144486
181,XLV,-15,-609.6
181,XLI,32,1172.48
181,XLB,7,257.46000000000004
181,XLK,-7,-211.26
181,XLU,67,2460.91
182,XLY,-2,-92.94
182,XLP,1,35.9
182,XLF,60,776.6130599999999
182,XLV,14,564.76
182,XLI,-5,-181.5
182,XLB,-3,-109.14
182,XLK,-5,-150.29999999999998
182,XLU,-24,-880.08
183,XLY,-2,-92.52
183,XLP,15,537.3
183,XLF,-11,-143.182963
183,XLV,-8,-322.96
183,XLI,-35,-1274.35
183,XLB,13,474.89
183,XLK,3,89.82000000000001
183,XLU,20,734.2
184,XLY,-6,-277.5
184,XLP,-9,-322.65000000000003
184,XLF,-33,-423.653637
184,XLV,6,241.86
184,XLI,24,874.8000000000001
184,XLB,-17,-618.29
184,XLK,25,748.0
184,XLU,-5,-182.5
185,XLY,1,46.71
185,XLP,-10,-360.9
185,XLF,11,142.825672
185,XLV,-10,-408.9
185,XLI,-9,-330.3
185,XLB,19,696.92
185,XLK,-13,-390.91
185,XLU,16,586.4
186,XLY,1,47.13
186,XLP,17,615.06
186,XLF,26,339.699204
186,XLV,14,578.62
186,XLI,9,333.7911
186,XLB,-17,-638.52
186,XLK,15,457.2
186,XLU,-47,-1729.13
187,XLY,-1,-47.4
187,XLP,-20,-726.7
187,XLF,-76,-1005.618092
187,XLV,-13,-537.29
187,XLI,12,447.78
187,XLB,16,605.84
187,XLK,2,60.64
187,XLU,32,1191.7248
188,XLY,4,189.72
188,XLP,15,542.1
188,XLF,125,1657.52975
188,XLV,-3,-124.02
188,XLI,-24,-898.08
188,XLB,-8,-303.04
188,XLK,13,389.545
188,XLU,-39,-1458.9899999999998
189,XLY,-1,-46.58
189,XLP,13,464.23
189,XLF,-88,-1151.180272
189,XLV,13,527.8000000000001
189,XLI,6,220.74
189,XLB,-4,-148.36
189,XLK,-37,-1083.73
189,XLU,33,1224.63
190,XLY,-2,-92.86
190,XLP,7,250.11
190,XLF,23,300.876662
190,XLV,-3,-121.89
190,XLI,18,660.42
190,XLB,-4,-149.04
190,XLK,-2,-58.98
190,XLU,-21,-777.2099999999999
191,XLY,-2,-92.12
191,XLP,-34,-1198.5
191,XLF,14,180.072886
191,XLV,8,320.72
191,XLI,-31,-1125.92
191,XLB,30,1084.125
191,XLK,31,904.27
191,XLU,-3,-110.01
192,XLY,4,183.52
192,XLP,56,1974.0
192,XLF,-43,-553.081007
192,XLV,-12,-481.92
192,XLI,21,757.8900000000001
192,XLB,-30,-1083.6
192,XLK,-29,-841.0
192,XLU,1,36.4
193,XLY,12,549.24
193,XLP,-44,-1560.6799999999998
193,XLF,18,232.10694
193,XLV,5,202.4
193,XLI,-17,-616.93
193,XLB,21,756.84
193,XLK,13,376.22
193,XLU,3,109.74
194,XLY,-15,-688.8000000000001
194,XLP,-12,-424.2000000000001
194,XLF,32,410.555808
194,XLV,9,362.88
194,XLI,38,1380.16
194,XLB,-33,-1191.63
194,XLK,-7,-202.93
194,XLU,9,329.22
195,XLY,3,138.2151
195,XLP,29,1026.31
195,XLF,18,232.389036
195,XLV,-10,-400.289
195,XLI,-39,-1423.0866
195,XLB,6,216.1812
195,XLK,25,721.7625
195,XLU,-14,-516.5328000000001
196,XLY,9,419.4
196,XLP,-23,-814.43
196,XLF,-64,-836.442496
196,XLV,-9,-363.24
196,XLI,15,557.109
196,XLB,8,293.84
196,XLK,-13,-381.42
196,XLU,32,1168.32
197,XLY,-7,-325.9977
197,XLP,10,352.0
197,XLF,14,181.892942
197,XLV,5,200.7
197,XLI,48,1767.84
197,XLB,-15,-541.05
197,XLK,-25,-724.0
197,XLU,-26,-942.76
198,XLY,-1,-46.69
198,XLP,24,843.36
198,XLF,-67,-868.850037
198,XLI,-27,-999.81
198,XLB,4,145.28
198,XLU,27,963.09
199,XLY,-1,-46.94
199,XLP,-13,-460.2
199,XLF,111,1455.662325
199,XLV,7,281.40000000000003
199,XLI,-45,-1684.35
199,XLB,-3,-110.1
199,XLK,36,1053.0
199,XLU,-16,-571.04
200,XLY,-4,-185.52
200,XLP,19,664.6238000000001
200,XLF,-46,-583.450476
200,XLV,-3,-118.59
200,XLI,14,511.98
200,XLB,46,1662.9
200,XLK,-36,-1026.72
200,XLU,-24,-838.56
201,XLY,2,91.28
201,XLP,-29,-1003.4
201,XLF,-4,-50.274248
201,XLV,-9,-351.54
201,XLI,22,795.52
201,XLB,-37,-1318.3100000000002
201,XLK,20,562.3
201,XLU,35,1220.87
202,XLY,9,408.78
202,XLP,-6,-207.6
202,XLF,38,478.278032
202,XLI,17,616.59
202,XLB,1,35.56
202,XLK,-7,-197.68
202,XLU,-31,-1074.77
203,XLY,5,227.3
203,XLP,56,1937.6
203,XLE,1,69.69
203,XLF,-45,-567.29538
203,XLV,12,472.44
203,XLI,-3,-109.11
203,XLB,-9,-320.04
203,XLK,-8,-225.56
203,XLU,-46,-1581.48
204,XLY,-11,-501.49
204,XLP,-47,-1625.26
204,XLE,-1,-69.3998
204,XLF,-60,-751.2781200000001
204,XLV,42,1647.24
204,XLI,-32,-1160.64
204,XLB,4,142.0
204,XLK,45,1262.7
204,XLU,32,1104.32
205,XLY,-1,-44.91
205,XLP,42,1437.24
205,XLE,1,68.555
205,XLF,14,172.17195800000002
205,XLV,-55,-2130.7000000000003
205,XLI,7,247.905
205,XLB,-1,-34.895
205,XLK,-4,-111.1
205,XLU,9,308.385
206,XLY,23,1032.24
206,XLP,13,444.47
206,XLE,-1,-68.65
206,XLF,-15,-184.89627
206,XLV,20,772.8
206,XLI,-10,-354.20000000000005
206,XLB,18,626.04
206,XLK,-30,-828.6
206,XLU,-38,-1294.66
207,XLY,-8,-361.4504
207,XLP,7,240.87
207,XLE,2,137.84
207,XLF,-31,-384.63622
207,XLV,5,194.65
207,XLI,21,745.9200000000001
207,XLB,-21,-732.06
207,XLK,-6,-165.96
207,XLU,7,240.52
208,XLY,-1,-46.15
208,XLP,4,139.88
208,XLE,2,141.0222
208,XLF,76,960.795724
208,XLV,-25,-983.5
208,XLI,8,289.48
208,XLB,6,215.07
208,XLK,-11,-312.565
208,XLU,-11,-378.29
209,XLY,28,1298.64
209,XLP,-25,-877.5
209,XLE,-4,-280.92
209,XLV,14,553.84
209,XLI,16,579.52
209,XLB,-2,-71.76
209,XLK,29,820.7
209,XLU,37,1270.21
209,XLF,-258,-3278.681028
210,XLY,-6,-279.24
210,XLP,13,456.95
210,XLV,29,1146.37
210,XLI,-17,-616.59
210,XLB,1,35.94
210,XLK,-19,-539.41
210,XLU,-7,-239.26
211,XLY,-29,-1367.64
211,XLP,27,963.09
211,XLE,2,143.22
211,XLV,-30,-1200.6
211,XLI,25,918.5
211,XLB,-3,-109.2
211,XLU,21,715.8900000000001
212,XLY,21,985.74
212,XLP,13,460.3299999999999
212,XLE,-1,-70.9098
212,XLV,1,39.842
212,XLI,-64,-2352.96
212,XLB,44,1602.92
212,XLK,17,492.5750000000001
212,XLU,-35,-1208.2
213,XLY,-17,-794.75
213,XLP,-43,-1521.34
213,XLE,-1,-70.32
213,XLV,3,118.8
213,XLI,42,1540.98
213,XLB,-37,-1341.805
213,XLK,45,1298.1915
213,XLU,23,796.03
214,XLY,6,284.16
214,XLP,72,2571.84
214,XLE,1,70.96
214,XLV,-11,-439.12
214,XLI,-23,-851.0
214,XLB,12,437.04
214,XLK,-23,-667.23
214,XLU,-41,-1425.5700000000002
215,XLY,-12,-569.88
215,XLP,-76,-2729.16
215,XLE,-1,-71.12
215,XLV,12,482.28
215,XLI,35,1302.35
215,XLB,-18,-660.0600000000001
215,XLK,39,1137.24
215,XLU,32,1118.4
216,XLY,10,475.3
216,XLP,1,36.04
216,XLV,-19,-764.5600000000001
216,XLI,31,1151.03
216,XLB,6,220.2
216,XLK,-82,-2388.66
216,XLU,34,1200.88
217,XLY,-19,-898.32
217,XLP,16,574.392
217,XLV,12,481.7988
217,XLI,-10,-367.3
217,XLB,-8,-288.16
217,XLK,16,465.44
217,XLU,2,70.2
218,XLP,64,2292.8
218,XLE,1,70.4099
218,XLV,5,201.175
218,XLI,-24,-884.8799999999999
218,XLK,11,319.385
218,XLU,-56,-1955.52
219,XLP,-39,-1399.71
219,XLV,-12,-484.44
