Date,Symbol,Quantity,Value
170,XLY,3,142.185
170,XLE,2,148.6
170,XLF,412,5297.615068
170,XLI,12,443.58
170,XLB,25,933.375
170,XLK,94,2943.14
171,XLY,7,327.88
171,XLE,3,220.455
171,XLF,141,1785.5401049999998
171,XLI,16,583.68
171,XLB,-24,-881.76
171,XLK,-68,-2099.16
172,XLY,-7,-325.64000000000004
172,XLE,-4,-291.16
172,XLF,-106,-1333.713518
172,XLI,-15,-545.025
172,XLB,12,438.72
172,XLK,70,2145.5
173,XLY,14,657.86
173,XLE,-1,-73.78
173,XLF,28,355.59848800000003
173,XLI,2,73.36
173,XLB,-12,-444.12
173,XLK,-20,-620.9000000000001
174,XLY,-13,-608.27
174,XLE,1,73.435
174,XLF,-72,-911.47284
174,XLI,4,146.16
174,XLB,10,367.9
174,XLK,32,986.4
175,XLY,10,467.6
175,XLE,-1,-73.8
175,XLF,-3,-38.148558
175,XLI,-13,-477.0883
175,XLB,29,1070.68
175,XLK,-32,-984.32
176,XLY,9,420.03
176,XLE,1,73.93
176,XLF,-40,-509.62188
176,XLI,10,366.4
176,XLB,-29,-1064.88
176,XLK,21,646.8000000000001
177,XLY,-17,-799.68
177,XLE,-1,-73.02
177,XLF,52,668.419908
177,XLI,17,626.11
177,XLB,2,73.1
177,XLK,-16,-495.36
178,XLY,-1,-47.47
178,XLF,109,1421.9107769999998
178,XLI,-8,-296.32
178,XLK,-18,-558.9
178,XLB,-13,-481.2600000000001
179,XLY,7,333.27
179,XLF,141,1838.780013
179,XLI,-21,-780.3599999999999
179,XLK,-42,-1297.38
180,XLY,-7,-332.64000000000004
180,XLF,27,351.88757100000004
180,XLI,-1,-37.07
181,XLY,3,140.28
181,XLF,22,284.936762
181,XLI,2,73.28
181,XLK,-16,-482.88
182,XLY,1,46.47
182,XLF,-85,-1100.2018349999998
182,XLI,4,145.2
182,XLK,30,901.8
183,XLY,-7,-323.82
183,XLF,117,1522.946061
183,XLI,-5,-182.05
183,XLK,-35,-1047.9
184,XLY,4,185.0
184,XLF,-62,-795.955318
184,XLI,6,218.7
184,XLK,14,418.88
185,XLY,-6,-280.26
185,XLF,9,116.857368
185,XLI,-10,-367.0
185,XLK,17,511.19
186,XLY,1,47.13
186,XLF,-15,-195.98031
186,XLI,7,259.6153
186,XLK,-4,-121.92
187,XLF,-92,-1217.327164
187,XLV,17,702.61
187,XLI,32,1194.08
187,XLK,-22,-667.04
188,XLY,18,853.74
188,XLF,18,238.684284
188,XLV,-13,-537.4200000000001
188,XLI,-19,-710.98
188,XLK,5,149.825
189,XLY,-18,-838.4399999999999
189,XLP,19,678.49
189,XLF,-271,-3545.1119740000004
189,XLV,1,40.6
189,XLI,18,662.22
189,XLK,-9,-263.61
189,XLU,86,3191.46
190,XLY,13,603.59
190,XLP,18,643.14
190,XLF,32,418.611008
190,XLV,-2,-81.26
190,XLI,-15,-550.3499999999999
190,XLK,6,176.94
190,XLU,-32,-1184.32
191,XLY,-8,-368.48
191,XLP,14,493.5
191,XLF,-93,-1196.198457
191,XLV,-3,-120.27
191,XLI,-3,-108.96
191,XLB,3,108.4125
191,XLK,12,350.04
191,XLU,23,843.4100000000001
192,XLY,1,45.88
192,XLP,-45,-1586.25
192,XLF,-24,-308.696376
192,XLV,2,80.32
192,XLI,18,649.6200000000001
192,XLB,4,144.48
192,XLK,39,1131.0
192,XLU,-5,-182.0
193,XLY,-1,-45.77
193,XLP,26,922.22
193,XLF,66,851.0587800000001
193,XLV,-1,-40.48
193,XLI,-34,-1233.86
193,XLB,12,432.48
193,XLU,23,841.3399999999999
193,XLK,-58,-1678.52
194,XLY,-5,-229.6
194,XLP,-27,-954.45
194,XLF,47,603.0038430000001
194,XLV,4,161.28
194,XLI,9,326.88
194,XLB,-18,-649.98
194,XLU,20,731.5999999999999
195,XLP,4,141.56
195,XLF,-8,-103.284016
195,XLV,16,640.4624
195,XLB,30,1080.906
195,XLU,-35,-1291.332
195,XLI,-13,-474.3622
196,XLY,10,466.0
196,XLP,-7,-247.87
196,XLF,176,2300.216864
196,XLV,-17,-686.12
196,XLB,-24,-881.52
196,XLU,-27,-985.77
197,XLY,-7,-325.9977
197,XLP,33,1161.6
197,XLF,-27,-350.793531
197,XLV,12,481.68
197,XLB,-1,-36.07
197,XLU,-25,-906.5
198,XLY,-4,-186.76
198,XLP,-33,-1159.62
198,XLF,1,12.967911
198,XLV,-13,-522.0799999999999
198,XLB,38,1380.16
198,XLU,14,499.38
199,XLY,1,46.94
199,XLP,21,743.4
199,XLF,-18,-236.05335
199,XLV,-1,-40.2
199,XLB,-39,-1431.3000000000002
199,XLU,26,927.94
200,XLY,14,649.32
200,XLP,-16,-559.6832
200,XLB,10,361.5
200,XLU,-13,-454.22
201,XLY,-15,-684.6
201,XLP,24,830.4000000000001
201,XLF,-84,-1055.759208
201,XLB,15,534.45
201,XLU,11,383.702
202,XLP,85,2941.0
202,XLF,5,62.93132
202,XLV,-1,-39.17
202,XLB,-20,-711.2
202,XLU,-66,-2288.2200000000003
203,XLY,6,272.76
203,XLP,-96,-3321.6000000000004
203,XLF,28,352.983792
203,XLV,1,39.37
203,XLB,-6,-213.36
203,XLU,84,2887.92
204,XLY,-3,-136.77
204,XLP,6,207.48
204,XLV,4,156.88
204,XLB,40,1420.0
204,XLU,-48,-1656.48
205,XLY,-1,-44.91
205,XLP,24,821.28
205,XLF,18,221.363946
205,XLV,-3,-116.22
205,XLB,-44,-1535.38
205,XLU,19,651.035
206,XLY,18,807.84
206,XLP,-36,-1230.84
206,XLF,51,628.647318
206,XLV,14,540.96
206,XLB,12,417.36
206,XLU,-34,-1158.38
207,XLY,-19,-858.4447
207,XLP,11,378.51
207,XLF,1,12.40762
207,XLV,-14,-545.02
207,XLB,-7,-244.02
207,XLU,37,1271.32
208,XLY,16,738.4
208,XLP,-10,-349.7
208,XLF,38,480.397862
208,XLU,-25,-859.75
209,XLY,1,46.38
209,XLP,188,6598.8
209,XLV,9,356.04
209,XLB,21,753.48
209,XLU,-28,-961.24
209,XLF,-539,-6849.6475740000005
210,XLY,-5,-232.7
210,XLP,-15,-527.25
210,XLV,-11,-434.83
210,XLB,28,1006.32
210,XLU,7,239.26
211,XLY,-7,-330.12
211,XLP,33,1177.11
211,XLV,1,40.02
211,XLB,-19,-691.6
211,XLU,-8,-272.72
212,XLY,-6,-281.64
212,XLP,-8,-283.28
212,XLV,19,756.9979999999999
212,XLB,1,36.43
212,XLU,-4,-138.08
213,XLY,9,420.75
213,XLP,-46,-1627.48
213,XLV,-9,-356.40000000000003
213,XLB,29,1051.685
213,XLU,15,519.15
214,XLY,4,189.44
214,XLP,-32,-1143.04
214,XLV,-12,-479.04
