Date,Symbol,Quantity,Value
170,XLF,771,9913.740819
171,XLF,-18,-227.94129
171,XLK,7,216.09
172,XLY,16,744.32
172,XLF,-130,-1635.68639
172,XLK,31,950.15
173,XLY,5,234.95
173,XLE,1,73.78
173,XLF,57,723.896922
173,XLK,-34,-1055.53
174,XLY,-15,-701.85
174,XLF,32,405.09904
174,XLK,8,246.6
175,XLY,-3,-140.28
175,XLF,-45,-572.22837
175,XLK,24,738.24
176,XLY,11,513.37
176,XLE,-1,-73.93
176,XLF,-6,-76.443282
176,XLK,-13,-400.4
177,XLY,-2,-94.08
177,XLF,26,334.209954
177,XLK,-5,-154.8
178,XLY,-4,-189.88
178,XLE,2,147.51
178,XLF,-41,-534.847173
178,XLK,17,527.85
179,XLY,-3,-142.82999999999998
179,XLF,106,1382.345258
179,XLK,-33,-1019.37
179,XLE,-2,-147.16
180,XLY,-4,-190.08
180,XLF,-1,-13.032873
180,XLK,5,152.85
181,XLY,3,140.28
181,XLF,-7,-90.661697
182,XLY,-4,-185.88
182,XLF,-10,-129.43551
182,XLK,10,300.6
183,XLY,1,46.26
183,XLF,28,364.465724
183,XLK,-14,-419.16
184,XLY,1,46.25
184,XLF,-12,-154.055868
184,XLK,4,119.68
185,XLY,-2,-93.42
185,XLF,15,194.76228
185,XLK,-4,-120.28
186,XLF,-18,-235.176372
186,XLK,8,243.84
187,XLY,4,189.6
187,XLF,5,66.159085
187,XLK,-8,-242.56
188,XLY,-4,-189.72
188,XLF,5,66.30118999999999
188,XLK,3,89.895
189,XLF,4,52.326376
189,XLK,-1,-29.29
190,XLY,2,92.86
190,XLF,-55,-719.4876700000001
190,XLV,6,243.78000000000003
190,XLK,12,353.88
191,XLY,-1,-46.06
191,XLF,-34,-437.319866
191,XLV,17,681.5300000000001
191,XLK,-7,-204.19
192,XLY,3,137.64
192,XLF,67,861.777383
192,XLV,-18,-722.8799999999999
192,XLK,-10,-290.0
193,XLY,-4,-183.08
193,XLF,-14,-180.52762
193,XLV,4,161.92
193,XLB,6,216.24
194,XLF,24,307.916856
194,XLV,-5,-201.6
194,XLB,-3,-108.33
195,XLY,2,92.1434
195,XLF,-115,-1484.70773
195,XLV,10,400.289
195,XLB,27,972.8154
196,XLY,6,279.6
196,XLF,93,1215.455502
196,XLV,-14,-565.04
196,XLB,-25,-918.25
197,XLY,-8,-372.5688
197,XLF,-70,-909.46471
197,XLV,18,722.52
197,XLB,16,577.12
198,XLY,19,887.1099999999999
198,XLF,29,376.069419
198,XLV,-18,-722.8799999999999
198,XLB,-15,-544.8
199,XLY,-19,-891.8599999999999
199,XLF,12,157.3689
199,XLV,4,160.8
199,XLB,16,587.2
200,XLY,7,324.66
200,XLF,-10,-126.83706
200,XLV,7,276.71000000000004
200,XLB,-13,-469.95
201,XLY,-5,-228.2
201,XLF,-5,-62.84281
201,XLV,8,312.48
201,XLB,-1,-35.63
202,XLY,-1,-45.42
202,XLF,-49,-616.726936
202,XLV,-3,-117.51
202,XLB,22,782.32
203,XLY,8,363.68
203,XLF,68,857.246352
203,XLV,-12,-472.44
203,XLB,-21,-746.76
204,XLY,-2,-91.18
204,XLF,-5,-62.60651
204,XLV,-3,-117.66
204,XLB,8,284.0
205,XLY,2,89.82
205,XLF,-27,-332.045919
205,XLV,15,581.1
205,XLB,-10,-348.95000000000005
206,XLY,-5,-224.4
206,XLF,1,12.326418
206,XLV,-2,-77.28
206,XLB,7,243.46
207,XLY,2,90.3626
207,XLF,-2,-24.81524
207,XLV,3,116.79
207,XLB,-5,-174.3
208,XLY,-4,-184.6
208,XLF,52,657.386548
208,XLV,-17,-668.7800000000001
208,XLB,6,215.07
209,XLY,102,4730.76
209,XLV,94,3718.64
209,XLB,20,717.6
209,XLF,-721,-9162.515586
210,XLY,-9,-418.86
210,XLV,6,237.18
210,XLB,4,143.76
