Date,Symbol,Quantity,Value
170,XLF,771,9913.740819
170,XLK,1,31.31
171,XLF,-11,-139.297455
171,XLK,4,123.48
172,XLY,7,325.64000000000004
172,XLF,-47,-591.3635409999999
172,XLK,9,275.85
173,XLY,3,140.97
173,XLE,2,147.56
173,XLF,-5,-63.49973
173,XLK,-8,-248.36
174,XLY,-3,-140.37
174,XLE,-2,-146.87
174,XLF,4,50.63738
174,XLK,8,246.6
175,XLY,-4,-187.04
175,XLE,1,73.8
175,XLF,4,50.864744
175,XLK,1,30.76
176,XLY,-2,-93.34
176,XLF,48,611.546256
176,XLK,-15,-462.0
177,XLY,1,47.04
177,XLE,-1,-73.02
177,XLF,-51,-655.565679
177,XLK,21,650.16
178,XLY,4,189.88
178,XLF,-106,-1382.775618
178,XLK,40,1242.0
179,XLY,4,190.44
179,XLE,1,73.58
179,XLF,66,860.705538
179,XLK,-37,-1142.93
180,XLY,-10,-475.2000000000001
180,XLE,3,221.1
180,XLF,-26,-338.854698
180,XLK,19,580.83
181,XLY,7,327.32
181,XLE,-4,-295.2
181,XLF,66,854.8102859999999
181,XLK,-30,-905.4
182,XLY,-5,-232.35
182,XLF,-125,-1617.943875
182,XLK,62,1863.72
183,XLY,11,508.86
183,XLE,1,72.96
183,XLF,43,559.715219
183,XLK,-39,-1167.66
184,XLY,-4,-185.0
184,XLE,1,72.56
184,XLF,66,847.307274
184,XLK,-24,-718.08
185,XLY,-7,-326.97
185,XLF,-31,-402.508712
185,XLK,23,691.61
186,XLY,4,188.52
186,XLE,1,74.09
186,XLF,25,326.63385
186,XLK,-18,-548.64
187,XLY,8,379.2
187,XLE,-2,-150.04
187,XLF,8,105.854536
187,XLK,-10,-303.2
188,XLY,4,189.72
188,XLF,-26,-344.766188
188,XLK,5,149.825
189,XLY,-14,-652.12
189,XLE,5,369.15
189,XLF,47,614.834918
189,XLK,-12,-351.48
190,XLY,-1,-46.43
190,XLE,1,73.46
190,XLF,-182,-2380.850108
190,XLV,51,2072.13
190,XLK,7,206.43
191,XLY,12,552.72
191,XLF,113,1453.445437
191,XLV,-49,-1964.41
191,XLK,-1,-29.17
192,XLY,2,91.76
192,XLE,-3,-213.6
192,XLF,30,385.87047
192,XLV,-1,-40.16
192,XLK,-6,-174.0
193,XLY,-14,-640.7800000000001
193,XLE,-3,-215.61
193,XLF,-94,-1212.11402
193,XLV,11,445.28
193,XLB,45,1621.8
194,XLY,20,918.4
194,XLE,-1,-71.96
194,XLF,2,25.659738
194,XLV,-1,-40.32
194,XLB,-23,-830.53
195,XLY,-16,-737.1472
195,XLE,1,71.9401
195,XLF,-108,-1394.334216
195,XLV,44,1761.2716
195,XLB,8,288.2416
196,XLY,1,46.6
196,XLF,127,1659.815578
196,XLV,-23,-928.28
196,XLB,-20,-734.5999999999999
197,XLF,-61,-792.5335329999999
197,XLV,-12,-481.68
197,XLB,34,1226.38
198,XLY,2,93.38
198,XLF,-20,-259.35822
198,XLV,35,1405.6
198,XLB,-34,-1234.88
199,XLY,-9,-422.46
199,XLF,47,616.361525
199,XLV,-8,-321.6
199,XLB,3,110.1
200,XLY,4,185.52
200,XLE,1,70.85
200,XLF,27,342.460062
200,XLV,-30,-1185.9
200,XLB,15,542.25
201,XLY,-1,-45.64
201,XLE,7,486.99
201,XLF,-5,-62.84281
201,XLV,15,585.9000000000001
201,XLB,-26,-926.38
202,XLY,12,545.04
202,XLE,-9,-625.9499999999999
202,XLF,-66,-830.693424
202,XLV,14,548.38
202,XLB,9,320.04
203,XLY,-5,-227.3
203,XLF,140,1764.91896
203,XLV,-31,-1220.47
203,XLB,-6,-213.36
204,XLY,-9,-410.31000000000006
204,XLF,-26,-325.553852
204,XLV,13,509.86
204,XLB,6,213.0
205,XLY,-2,-89.82
205,XLF,-12,-147.575964
205,XLV,-17,-658.58
205,XLB,25,872.3750000000001
206,XLY,3,134.64
206,XLF,82,1010.766276
206,XLV,-2,-77.28
206,XLB,-30,-1043.4
207,XLY,7,316.2691
207,XLF,-35,-434.2667
207,XLV,-5,-194.65
207,XLB,8,278.88
208,XLY,-5,-230.75
208,XLF,57,720.596793
208,XLV,1,39.34
208,XLB,-13,-465.985
209,XLY,-3,-139.14
209,XLF,-59,-749.775894
209,XLV,14,553.84
209,XLB,9,322.92
210,XLF,11,139.788726
210,XLV,-16,-632.48
210,XLB,13,467.22
211,XLF,33,424.457517
211,XLV,1,40.02
211,XLB,-13,-473.2
212,XLF,3,38.440884
212,XLV,-1,-39.842
212,XLB,1,36.43
213,XLY,6,280.5
213,XLF,-42,-533.397732
213,XLB,6,217.59
214,XLY,-1,-47.36
214,XLF,-10,-127.48667
214,XLV,19,758.48
214,XLB,-16,-582.72
215,XLY,-3,-142.47
215,XLP,51,1831.41
215,XLF,-192,-2460.138624
215,XLV,-7,-281.33
215,XLI,26,967.46
215,XLB,1,36.67
216,XLY,9,427.77
216,XLP,-16,-576.64
216,XLF,7,89.581716
216,XLV,-12,-482.88
216,XLI,-14,-519.82
216,XLB,29,1064.3000000000002
217,XLY,4,189.12
217,XLP,15,538.4925000000001
217,XLF,-9,-114.738003
217,XLV,7,281.0493
217,XLI,-6,-220.38
217,XLB,-19,-684.3800000000001
218,XLY,-17,-800.36
218,XLP,-14,-501.55000000000007
218,XLF,29,368.769394
218,XLV,-7,-281.645
218,XLI,39,1437.9299999999998
218,XLB,-5,-180.425
219,XLY,1,46.94
219,XLP,79,2835.31
219,XLF,-179,-2303.813951
219,XLV,-3,-121.11
219,XLI,-23,-856.9799999999999
219,XLB,11,392.26
220,XLP,-40,-1437.2
220,XLF,117,1510.59519
220,XLV,9,363.15
220,XLI,-13,-484.25
221,XLY,3,142.26
221,XLP,-1,-36.18
221,XLF,-10,-130.12572
221,XLV,-7,-283.36
221,XLI,13,487.435
221,XLB,-3,-108.15
222,XLY,1,47.15
222,XLP,-70,-2529.8
222,XLF,113,1467.209176
222,XLV,12,487.8
222,XLB,13,471.64
223,XLY,3,141.89999999999998
223,XLP,17,614.7199999999999
223,XLF,-25,-326.227825
223,XLV,-7,-287.56
223,XLI,-14,-528.64
223,XLB,10,365.7
224,XLY,4,189.44
224,XLP,10,360.8
224,XLF,-17,-222.801218
224,XLV,17,697.34
224,XLI,11,416.02
224,XLB,-37,-1349.76
225,XLY,-5,-235.25
225,XLP,1,36.02
225,XLF,34,443.393762
225,XLV,-22,-894.74
225,XLI,9,339.3
225,XLB,7,254.66000000000005
226,XLY,-6,-281.1
226,XLP,-6,-215.76
226,XLF,-45,-584.65224
226,XLV,13,526.63
226,XLI,-12,-451.44
226,XLB,27,989.55
227,XLY,5,238.45
227,XLP,25,901.0
227,XLF,-70,-928.21666
