Date,Symbol,Quantity,Value
170,XLY,4,189.58
170,XLP,109,3932.72
170,XLV,1,40.3
170,XLI,39,1441.6350000000002
170,XLB,49,1829.415
170,XLU,67,2436.79
171,XLY,-4,-187.36
171,XLP,10,358.29999999999995
171,XLV,11,442.9689
171,XLI,-20,-729.5999999999999
171,XLB,18,661.32
171,XLU,-13,-471.77
172,XLP,6,214.95
172,XLV,-3,-120.195
172,XLI,16,581.36
172,XLB,-16,-584.96
172,XLU,-3,-109.11
173,XLP,15,539.25
173,XLV,-7,-282.065
173,XLI,-6,-220.08
173,XLB,2,74.02
173,XLU,-4,-144.9
174,XLP,1,35.825
174,XLV,1,40.12
174,XLB,2,73.58
174,XLU,-4,-145.56
175,XLP,-25,-901.5
175,XLV,1,40.36
175,XLI,18,660.5838
175,XLB,-15,-553.8000000000001
175,XLU,21,760.62
176,XLP,2,72.18
176,XLV,-3,-121.62
176,XLI,23,842.72
176,XLB,-21,-771.12
177,XLP,-11,-398.2000000000001
177,XLV,-1,-40.88
177,XLU,11,402.49
178,XLP,-38,-1382.06
178,XLV,6,246.78000000000003
178,XLI,28,1037.12
178,XLB,-17,-629.34
178,XLU,21,772.8
179,XLV,-1,-41.17
179,XLI,-10,-371.6
179,XLB,8,297.6
179,XLU,2,73.48
180,XLP,2,72.8
180,XLV,-2,-82.28
180,XLI,13,481.91
180,XLB,-6,-222.78000000000003
180,XLU,-7,-257.6
181,XLP,7,252.35
181,XLV,-3,-121.92
181,XLI,-21,-769.44
181,XLB,11,404.58
181,XLU,8,293.84
182,XLP,-23,-825.6999999999999
182,XLV,4,161.36
182,XLI,18,653.4
182,XLB,-15,-545.7
182,XLU,14,513.38
183,XLP,26,931.32
183,XLV,1,40.37
183,XLI,-15,-546.15
183,XLB,3,109.59
183,XLU,-14,-513.94
184,XLP,-29,-1039.65
184,XLV,-3,-120.93
184,XLI,7,255.15000000000003
184,XLB,4,145.48
184,XLU,21,766.5
185,XLP,31,1118.7900000000002
185,XLV,-2,-81.78
185,XLI,-7,-256.90000000000003
185,XLB,4,146.72
