Date,Symbol,Quantity,Value
170,XLY,17,805.715
170,XLP,113,4077.04
170,XLI,22,813.23
170,XLB,61,2277.435
170,XLU,53,1927.61
171,XLY,-14,-655.76
171,XLP,-8,-286.64
171,XLV,2,80.5398
171,XLI,-20,-729.5999999999999
171,XLB,29,1065.46
171,XLU,14,508.06
172,XLP,30,1074.75
172,XLV,5,200.325
172,XLI,19,690.365
172,XLB,-28,-1023.68
172,XLU,-20,-727.4
172,XLY,-3,-139.56
173,XLP,-20,-719.0
173,XLV,-5,-201.475
173,XLI,7,256.76
173,XLB,-12,-444.12
173,XLU,29,1050.525
174,XLP,4,143.3
174,XLV,3,120.36
174,XLI,2,73.08
174,XLB,5,183.95
174,XLU,-14,-509.46
175,XLP,-10,-360.6
175,XLV,-2,-80.72
175,XLI,11,403.6901
175,XLB,-11,-406.12
175,XLU,11,398.42
176,XLP,16,577.44
176,XLV,-1,-40.54
176,XLI,11,403.04
176,XLB,-6,-220.32
176,XLU,-18,-655.3799999999999
177,XLP,-15,-543.0
177,XLI,29,1068.07
177,XLB,-28,-1023.4
177,XLU,12,439.08
178,XLP,-19,-691.03
178,XLV,2,82.26
178,XLI,9,333.36
178,XLB,-9,-333.18
178,XLU,18,662.4
179,XLP,-53,-1935.03
179,XLV,30,1235.1
179,XLI,6,222.96
179,XLB,2,74.4
179,XLU,10,367.4
180,XLP,66,2402.4
180,XLV,-34,-1398.76
180,XLI,-49,-1816.43
180,XLB,43,1596.59
180,XLU,-22,-809.5999999999999
181,XLP,3,108.15
181,XLI,35,1282.4
181,XLB,-28,-1029.84
181,XLU,-8,-293.84
182,XLP,-28,-1005.2
182,XLV,10,403.4
182,XLI,-21,-762.3
182,XLB,13,472.94000000000005
182,XLU,22,806.74
183,XLP,12,429.84
183,XLV,-3,-121.11
183,XLI,-39,-1419.9899999999998
183,XLB,33,1205.49
183,XLU,-1,-36.71
184,XLP,-52,-1864.2
184,XLI,53,1931.85
184,XLB,-59,-2145.83
184,XLU,56,2044.0
185,XLP,27,974.43
185,XLV,3,122.67
185,XLI,-22,-807.4000000000001
185,XLB,18,660.24
185,XLU,-27,-989.55
186,XLP,-25,-904.5
186,XLV,-7,-289.31
186,XLI,46,1706.0433999999998
186,XLB,-15,-563.4000000000001
186,XLU,3,110.37
187,XLP,42,1526.07
187,XLV,-1,-41.33
187,XLI,-51,-1903.065
187,XLB,36,1363.14
187,XLU,-25,-931.035
188,XLP,-30,-1084.2
188,XLV,1,41.34
188,XLI,15,561.3000000000001
188,XLB,-10,-378.8
188,XLU,23,860.43
189,XLP,5,178.55
189,XLV,2,81.2
189,XLB,12,445.08
189,XLU,-20,-742.2
190,XLP,-35,-1250.55
190,XLI,-25,-917.25
190,XLB,5,186.3
190,XLU,61,2257.61
190,XLV,-5,-203.15
191,XLP,19,669.75
191,XLI,24,871.6800000000001
191,XLB,-19,-686.6125000000001
191,XLU,-25,-916.75
192,XLP,-38,-1339.5
192,XLE,1,71.2
192,XLI,1,36.09
192,XLB,-26,-939.12
192,XLK,33,957.0
192,XLU,35,1274.0
193,XLP,6,212.82
193,XLE,-1,-71.87
193,XLI,6,217.74
193,XLK,28,810.32
193,XLU,-27,-987.66
193,XLB,-6,-216.24
194,XLP,7,247.45
194,XLI,-5,-181.6
194,XLK,12,347.88
194,XLU,-10,-365.8
195,XLP,11,389.29
195,XLI,3,109.4682
195,XLK,-37,-1068.2085
195,XLU,15,553.428
196,XLP,25,885.2499999999999
196,XLI,26,965.6556
196,XLK,-20,-586.8
196,XLU,-35,-1277.85
