Date,Symbol,Quantity,Value
170,XLY,160,7583.200000000001
170,XLI,1,36.965
170,XLB,62,2314.77
171,XLY,-4,-187.36
171,XLI,24,875.52
171,XLB,-18,-661.32
172,XLI,244,8865.74
172,XLB,-44,-1608.64
172,XLY,-156,-7257.120000000001
177,XLI,1,36.83
179,XLI,-1,-37.16
180,XLI,1,37.07
183,XLE,14,1021.44
183,XLI,-29,-1055.89
184,XLE,-14,-1015.84
184,XLI,28,1020.6
187,XLV,145,5992.849999999999
187,XLI,-161,-6007.714999999999
188,XLV,-20,-826.8000000000001
188,XLI,22,823.24
189,XLP,30,1071.3
189,XLV,-119,-4831.400000000001
189,XLI,-17,-625.43
189,XLU,117,4341.87
190,XLP,3,107.19
190,XLI,6,220.14
190,XLU,-2,-74.02
190,XLV,-6,-243.78000000000003
191,XLP,4,141.0
191,XLI,-58,-2106.56
191,XLB,41,1481.6375
191,XLU,14,513.38
192,XLP,-34,-1198.5
192,XLI,18,649.6200000000001
192,XLB,-20,-722.4
192,XLK,42,1218.0
192,XLU,-1,-36.4
193,XLP,69,2447.43
193,XLI,7,254.03
193,XLU,-17,-621.86
193,XLB,-21,-756.84
193,XLK,-42,-1215.48
194,XLP,10,353.5
194,XLI,5,181.6
194,XLU,-15,-548.6999999999999
195,XLP,73,2583.4700000000003
195,XLE,4,287.7604
195,XLU,11,405.8472
195,XLI,-91,-3320.5354
196,XLP,-52,-1841.32
196,XLE,2,144.4934
196,XLU,47,1715.9699999999998
197,XLP,62,2182.4
197,XLE,-2,-142.12
197,XLU,-55,-1994.3
198,XLP,24,843.36
198,XLE,-3,-214.8
198,XLU,-20,-713.4000000000001
199,XLP,81,2867.4
199,XLE,-1,-72.75
199,XLU,-77,-2748.13
200,XLP,2,69.9604
200,XLU,-2,-69.88
201,XLP,-4,-138.4
201,XLU,4,139.528
202,XLP,1,34.6
202,XLE,1,69.55
202,XLU,-2,-69.34
203,XLP,4,138.4
203,XLU,-2,-68.76
203,XLE,-1,-69.69
209,XLP,-273,-9582.3
209,XLF,682,8666.901012
209,XLU,27,926.91
210,XLF,-21,-266.869386
210,XLU,7,239.26
211,XLF,2,25.724698
212,XLF,13,166.57716399999998
212,XLU,-5,-172.60000000000002
213,XLP,1,35.38
213,XLF,-12,-152.39935200000002
213,XLU,4,138.44
214,XLP,-1,-35.72
214,XLF,-39,-497.198013
214,XLI,5,185.0
214,XLU,8,278.16
215,XLF,21,269.077662
215,XLU,-1,-34.95
215,XLI,-5,-186.05
216,XLF,-4,-51.189552
216,XLU,2,70.64
217,XLF,-9,-114.738003
217,XLU,3,105.3
218,XLF,-25,-317.90465
218,XLU,8,279.36
219,XLF,3,38.611407
219,XLU,-1,-35.45
220,XLF,17,219.48819
220,XLU,-5,-177.15
221,XLF,-21,-273.26401200000004
221,XLU,7,248.185
222,XLF,23,298.635496
222,XLU,-9,-319.23
223,XLF,5,65.245565
223,XLU,-1,-35.55
224,XLF,-26,-340.75480400000004
224,XLU,9,319.41
225,XLF,-17,-221.696881
225,XLU,6,212.1
226,XLF,-44,-571.6599679999999
226,XLB,8,293.2
226,XLU,8,281.68
