Date,Symbol,Quantity,Value
170,XLP,1,35.81
170,XLF,57,753.750729
170,XLU,5,182.7
176,XLF,-1,-12.858289
177,XLF,2,25.32681
178,XLF,1,12.582203
178,XLU,-2,-72.74
179,XLF,-1,-12.699946
180,XLF,1,12.659345
181,XLF,1,12.716186
184,XLF,-1,-13.045053
185,XLF,1,13.040993
188,XLF,-1,-12.943551
189,XLF,-1,-13.016633
190,XLP,1,35.85
190,XLF,-1,-12.837989
190,XLB,1,36.37
191,XLF,-1,-12.984152
192,XLF,-1,-13.065354
193,XLP,-2,-72.67
193,XLF,5,66.159085
193,XLB,-1,-37.865
193,XLU,1,37.2414
195,XLF,1,13.081594
195,XLU,-1,-37.11
196,XLF,1,13.081594
196,XLV,2,81.26
196,XLK,2,58.98
196,XLU,-3,-111.03
197,XLF,1,12.862349
197,XLK,1,29.17
198,XLF,6,77.174094
198,XLK,-3,-87.0
199,XLF,-9,-116.05347
199,XLK,3,86.82000000000001
200,XLF,-1,-12.829869
200,XLK,1,28.99
201,XLF,-1,-12.910502
202,XLF,-4,-52.277656
202,XLI,1,37.1406
202,XLK,-1,-29.34
203,XLF,1,12.992353
203,XLK,1,28.96
204,XLF,-1,-12.967911
206,XLF,2,25.367412
207,XLF,-1,-12.568562
211,XLF,1,12.297997
212,XLF,-1,-12.326418
212,XLK,-1,-27.62
213,XLF,1,12.40762
214,XLF,-1,-12.642049
215,XLF,1,12.708066
216,XLF,1,12.708066
217,XLF,-1,-12.862349
218,XLF,1,12.813628
219,XLF,1,12.699946
220,XLF,3,38.246001
220,XLI,-1,-37.0
221,XLP,7,251.37
221,XLF,-14,-179.385108
221,XLV,-2,-80.38
221,XLB,2,73.34
221,XLK,-3,-87.48
222,XLF,1,12.797388
225,XLF,-1,-12.870469
231,XLF,1,13.040993
233,XLF,-1,-13.260238
235,XLF,1,13.37392
236,XLF,-1,-13.560684
237,XLP,1,35.17
237,XLF,1,13.317079
238,XLP,-1,-35.06
