Date,Cash,XLU,XLK,XLB,XLI,XLV,XLF,XLE,XLP,XLY,Value
169.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
170.0,27.73927099999992,182.7,0.0,0.0,0.0,0.0,753.750729,0.0,35.81,0.0,1000.0
171.0,27.73927099999992,181.55,0.0,0.0,0.0,0.0,746.576538,0.0,35.88,0.0,991.745809
172.0,27.73927099999992,181.0,0.0,0.0,0.0,0.0,742.8737610000001,0.0,36.08,0.0,987.693032
173.0,27.73927099999992,181.2,0.0,0.0,0.0,0.0,742.410921,0.0,36.18,0.0,987.530192
174.0,27.73927099999992,181.95,0.0,0.0,0.0,0.0,738.245247,0.0,36.38,0.0,984.314518
175.0,27.73927099999992,180.125,0.0,0.0,0.0,0.0,732.691053,0.0,35.96,0.0,976.515324
176.0,40.59755999999992,181.85,0.0,0.0,0.0,0.0,720.064184,0.0,36.08,0.0,978.591744
177.0,15.270749999999923,181.45,0.0,0.0,0.0,0.0,734.47749,0.0,35.83,0.0,967.02824
178.0,75.42854699999992,109.11,0.0,0.0,0.0,0.0,742.349977,0.0,35.825,0.0,962.713524
179.0,88.12849299999992,108.675,0.0,0.0,0.0,0.0,736.5968680000001,0.0,35.95,0.0,969.350361
180.0,75.46914799999992,109.17,0.0,0.0,0.0,0.0,746.901355,0.0,35.825,0.0,967.365503
181.0,62.75296199999992,108.66,0.0,0.0,0.0,0.0,762.97116,0.0,36.06,0.0,970.444122
182.0,62.75296199999992,109.23,0.0,0.0,0.0,0.0,764.43282,0.0,36.09,0.0,972.505782
183.0,62.75296199999992,109.77,0.0,0.0,0.0,0.0,771.25374,0.0,36.2,0.0,979.976702
184.0,75.79801499999992,110.4,0.0,0.0,0.0,0.0,769.6581269999999,0.0,36.37,0.0,992.226142
185.0,62.75702199999992,110.22,0.0,0.0,0.0,0.0,782.45958,0.0,36.51,0.0,991.946602
186.0,62.75702199999992,110.4,0.0,0.0,0.0,0.0,781.97238,0.0,36.4,0.0,991.529402
187.0,62.75702199999992,110.19,0.0,0.0,0.0,0.0,777.1002599999999,0.0,36.05,0.0,986.0972819999998
188.0,75.70057299999992,110.01,0.0,0.0,0.0,0.0,763.669509,0.0,35.9,0.0,985.280082
189.0,88.71720599999992,110.13,0.0,0.0,0.0,0.0,754.9647140000001,0.0,35.82,0.0,989.63192
190.0,29.33519499999992,109.5,0.0,36.37,0.0,0.0,731.7653730000001,0.0,71.7,0.0,978.670568
191.0,42.31934699999992,109.95,0.0,36.68,0.0,0.0,727.112512,0.0,72.18,0.0,988.241859
192.0,55.38470099999992,110.37,0.0,37.56,0.0,0.0,718.59447,0.0,72.36,0.0,994.269171
193.0,62.51921599999992,148.9656,0.0,0.0,0.0,0.0,793.9090199999999,0.0,0.0,0.0,1005.393836
